method,instance_id,n_claims_new,L2_new,consistency_new,contradiction_new,coverage_new
B8,s0001,0,0.25,0.0,0.0,0.0
B2,s0004,5,0.775,0.8,0.0,0.5
B2,s0005,4,0.875,1.0,0.0,0.5
B8,s0007,0,0.25,0.0,0.0,0.0
B2,s0012,0,0.25,0.0,0.0,0.0
B8,s0018,0,0.25,0.0,0.0,0.0
B2,s0019,6,0.708,0.667,0.0,0.5
B8,s0027,6,0.875,0.833,0.167,1.0
B8,s0028,6,1.0,1.0,0.0,1.0
B2,s0030,0,0.25,0.0,0.0,0.0
B2,s0034,6,0.708,0.667,0.0,0.5
B8,s0037,0,0.25,0.0,0.0,0.0
B2,s0041,5,0.775,0.8,0.0,0.5
B8,s0047,0,0.25,0.0,0.0,0.0
B8,s0051,6,1.0,1.0,0.0,1.0
B8,s0061,6,1.0,1.0,0.0,1.0
B8,s0064,6,1.0,1.0,0.0,1.0
B2,s0081,5,0.775,0.8,0.0,0.5
B8,s0084,0,0.25,0.0,0.0,0.0
B8,s0086,0,0.25,0.0,0.0,0.0
B8,s0087,0,0.25,0.0,0.0,0.0
B8,s0090,12,0.937,0.917,0.083,1.0
B8,s0132,0,0.25,0.0,0.0,0.0
B8,s0146,7,0.893,0.857,0.143,1.0
B8,s0229,0,0.25,0.0,0.0,0.0
B8,s0311,6,1.0,1.0,0.0,1.0
