run_id,exp_id,method,llm_version,provider,seed,instance_id,udi,machine_failure,active_modes,latency_s,prompt_tokens,completion_tokens,api_cost,ifr_flag,llm_error,timestamp,wall_time_s
B1_s0000_s42,ai4i_deepseek,B1,local,deepseek,42,s0000,30,0,none,0.0,0,0,0.0,False,,2026-07-24T12:17:20,1683.1
B2_s0000_s42,ai4i_deepseek,B2,local,deepseek,42,s0000,30,0,none,0.0,0,0,0.0,False,,2026-07-24T12:17:20,1683.1
B3_s0000_s42,ai4i_deepseek,B3,deepseek-v4-flash,deepseek,42,s0000,30,0,none,10.932,527,799,0.0,False,,2026-07-24T12:17:31,1683.1
B4_s0000_s42,ai4i_deepseek,B4,deepseek-v4-flash,deepseek,42,s0000,30,0,none,6.286,1471,523,0.0,False,,2026-07-24T12:17:38,1683.1
B5_s0000_s42,ai4i_deepseek,B5,deepseek-v4-flash,deepseek,42,s0000,30,0,none,4.623,1551,306,0.0,False,,2026-07-24T12:17:43,1683.1
B6_s0000_s42,ai4i_deepseek,B6,deepseek-v4-flash,deepseek,42,s0000,30,0,none,6.825,808,592,0.0,False,,2026-07-24T12:17:50,1683.1
B7_s0000_s42,ai4i_deepseek,B7,deepseek-v4-flash,deepseek,42,s0000,30,0,none,14.497,1544,1032,0.0,False,,2026-07-24T12:18:05,1683.1
B8_s0000_s42,ai4i_deepseek,B8,deepseek-v4-flash,deepseek,42,s0000,30,0,none,3.245,684,224,0.0,False,,2026-07-24T12:18:08,1683.1
B1_s0001_s42,ai4i_deepseek,B1,local,deepseek,42,s0001,32,0,none,0.0,0,0,0.0,False,,2026-07-24T12:18:09,1683.1
B2_s0001_s42,ai4i_deepseek,B2,local,deepseek,42,s0001,32,0,none,0.0,0,0,0.0,False,,2026-07-24T12:18:09,1683.1
B3_s0001_s42,ai4i_deepseek,B3,deepseek-v4-flash,deepseek,42,s0001,32,0,none,9.854,527,732,0.0,False,,2026-07-24T12:18:19,1683.1
B4_s0001_s42,ai4i_deepseek,B4,deepseek-v4-flash,deepseek,42,s0001,32,0,none,5.489,1471,539,0.0,False,,2026-07-24T12:18:24,1683.1
B5_s0001_s42,ai4i_deepseek,B5,deepseek-v4-flash,deepseek,42,s0001,32,0,none,4.789,1541,249,0.0,False,,2026-07-24T12:18:30,1683.1
B6_s0001_s42,ai4i_deepseek,B6,deepseek-v4-flash,deepseek,42,s0001,32,0,none,7.155,808,628,0.0,False,,2026-07-24T12:18:37,1683.1
B7_s0001_s42,ai4i_deepseek,B7,deepseek-v4-flash,deepseek,42,s0001,32,0,none,50.743,1514,4480,0.0,False,,2026-07-24T12:19:28,1683.1
B8_s0001_s42,ai4i_deepseek,B8,deepseek-v4-flash,deepseek,42,s0001,32,0,none,3.693,684,332,0.0,False,,2026-07-24T12:19:32,1683.1
B1_s0002_s42,ai4i_deepseek,B1,local,deepseek,42,s0002,34,0,none,0.0,0,0,0.0,False,,2026-07-24T12:19:32,1683.1
B2_s0002_s42,ai4i_deepseek,B2,local,deepseek,42,s0002,34,0,none,0.0,0,0,0.0,False,,2026-07-24T12:19:32,1683.1
B3_s0002_s42,ai4i_deepseek,B3,deepseek-v4-flash,deepseek,42,s0002,34,0,none,8.107,527,587,0.0,False,,2026-07-24T12:19:41,1683.1
B4_s0002_s42,ai4i_deepseek,B4,deepseek-v4-flash,deepseek,42,s0002,34,0,none,5.593,1471,609,0.0,False,,2026-07-24T12:19:47,1683.1
B5_s0002_s42,ai4i_deepseek,B5,deepseek-v4-flash,deepseek,42,s0002,34,0,none,5.144,1549,365,0.0,False,,2026-07-24T12:19:52,1683.1
B6_s0002_s42,ai4i_deepseek,B6,deepseek-v4-flash,deepseek,42,s0002,34,0,none,6.641,808,672,0.0,False,,2026-07-24T12:19:59,1683.1
B7_s0002_s42,ai4i_deepseek,B7,deepseek-v4-flash,deepseek,42,s0002,34,0,none,29.203,1779,2718,0.0,False,,2026-07-24T12:20:29,1683.1
B8_s0002_s42,ai4i_deepseek,B8,deepseek-v4-flash,deepseek,42,s0002,34,0,none,4.371,684,359,0.0,False,,2026-07-24T12:20:33,1683.1
B1_s0003_s42,ai4i_deepseek,B1,local,deepseek,42,s0003,36,0,none,0.0,0,0,0.0,False,,2026-07-24T12:20:34,1683.1
B2_s0003_s42,ai4i_deepseek,B2,local,deepseek,42,s0003,36,0,none,0.0,0,0,0.0,False,,2026-07-24T12:20:34,1683.1
B3_s0003_s42,ai4i_deepseek,B3,deepseek-v4-flash,deepseek,42,s0003,36,0,none,9.056,527,799,0.0,False,,2026-07-24T12:20:43,1683.1
B4_s0003_s42,ai4i_deepseek,B4,deepseek-v4-flash,deepseek,42,s0003,36,0,none,5.328,1471,513,0.0,False,,2026-07-24T12:20:48,1683.1
B5_s0003_s42,ai4i_deepseek,B5,deepseek-v4-flash,deepseek,42,s0003,36,0,none,4.614,1549,252,0.0,False,,2026-07-24T12:20:53,1683.1
B6_s0003_s42,ai4i_deepseek,B6,deepseek-v4-flash,deepseek,42,s0003,36,0,none,7.934,808,666,0.0,False,,2026-07-24T12:21:02,1683.1
B7_s0003_s42,ai4i_deepseek,B7,deepseek-v4-flash,deepseek,42,s0003,36,0,none,17.633,1555,1601,0.0,False,,2026-07-24T12:21:20,1683.1
B8_s0003_s42,ai4i_deepseek,B8,deepseek-v4-flash,deepseek,42,s0003,36,0,none,3.323,684,240,0.0,False,,2026-07-24T12:21:23,1683.1
B1_s0004_s42,ai4i_deepseek,B1,local,deepseek,42,s0004,40,0,none,0.0,0,0,0.0,False,,2026-07-24T12:21:24,1683.1
B2_s0004_s42,ai4i_deepseek,B2,local,deepseek,42,s0004,40,0,none,0.0,0,0,0.0,False,,2026-07-24T12:21:24,1683.1
B3_s0004_s42,ai4i_deepseek,B3,deepseek-v4-flash,deepseek,42,s0004,40,0,none,7.165,527,616,0.0,False,,2026-07-24T12:21:31,1683.1
B4_s0004_s42,ai4i_deepseek,B4,deepseek-v4-flash,deepseek,42,s0004,40,0,none,3.999,1471,431,0.0,False,,2026-07-24T12:21:35,1683.1
B5_s0004_s42,ai4i_deepseek,B5,deepseek-v4-flash,deepseek,42,s0004,40,0,none,4.479,1546,312,0.0,False,,2026-07-24T12:21:40,1683.1
B6_s0004_s42,ai4i_deepseek,B6,deepseek-v4-flash,deepseek,42,s0004,40,0,none,7.663,808,687,0.0,False,,2026-07-24T12:21:48,1683.1
B7_s0004_s42,ai4i_deepseek,B7,deepseek-v4-flash,deepseek,42,s0004,40,0,none,19.134,1547,1665,0.0,False,,2026-07-24T12:22:07,1683.1
B8_s0004_s42,ai4i_deepseek,B8,deepseek-v4-flash,deepseek,42,s0004,40,0,none,5.261,684,509,0.0,False,,2026-07-24T12:22:13,1683.1
B1_s0005_s42,ai4i_deepseek,B1,local,deepseek,42,s0005,84,0,none,0.0,0,0,0.0,False,,2026-07-24T12:22:13,1683.1
B2_s0005_s42,ai4i_deepseek,B2,local,deepseek,42,s0005,84,0,none,0.0,0,0,0.0,False,,2026-07-24T12:22:13,1683.1
B3_s0005_s42,ai4i_deepseek,B3,deepseek-v4-flash,deepseek,42,s0005,84,0,none,7.693,526,522,0.0,False,,2026-07-24T12:22:21,1683.1
