method,instance_id,recovered,source,n_claims,L2
B8,s0001,False,never,0,0.25
B2,s0004,True,pass2,5,0.775
B2,s0005,True,pass2,4,0.875
B8,s0007,False,never,0,0.25
B2,s0012,True,pass3,5,0.875
B8,s0018,True,pass1,6,1.0
B2,s0019,True,pass2,6,0.708
B8,s0027,True,pass2,6,0.875
B8,s0028,True,pass2,6,1.0
B2,s0030,False,never,0,0.25
B2,s0034,True,pass2,6,0.708
B8,s0037,True,pass3,6,1.0
B2,s0041,True,pass2,5,0.775
B8,s0047,True,pass3,6,0.875
B8,s0051,True,pass2,6,1.0
B8,s0061,True,pass2,6,1.0
B8,s0064,True,pass2,6,1.0
B2,s0081,True,pass2,5,0.775
B8,s0084,False,never,0,0.25
B8,s0086,False,never,0,0.25
B8,s0087,True,pass3,6,1.0
B8,s0090,True,pass2,12,0.937
B8,s0132,False,never,0,0.25
B8,s0146,True,pass2,7,0.893
B8,s0229,True,pass3,7,0.786
B8,s0311,True,pass2,6,1.0
